d:2, x:0, y:0
d:3, x:0, y:0
d:6, x:0, y:0
d:7, x:0, y:0
d:10, x:1, y:0
d:11, x:1, y:0
d:22, x:0, y:1
d:23, x:0, y:1
d:24, x:1, y:1
d:25, x:1, y:1
d:26, x:1, y:1
d:27, x:1, y:1
d:28, x:1, y:1
d:29, x:1, y:1
d:30, x:1, y:1
d:31, x:1, y:1
d:34, x:2, y:0
d:35, x:2, y:0
d:44, x:3, y:0
d:45, x:3, y:0
d:48, x:2, y:1
d:49, x:2, y:1
d:50, x:2, y:1
d:51, x:2, y:1
d:52, x:2, y:1
d:53, x:2, y:1
d:54, x:2, y:1
d:55, x:2, y:1
d:60, x:3, y:1
d:61, x:3, y:1
d:70, x:0, y:2
d:71, x:0, y:2
d:76, x:1, y:2
d:77, x:1, y:2
d:78, x:1, y:2
d:79, x:1, y:2
d:80, x:0, y:3
d:81, x:0, y:3
d:88, x:1, y:3
d:89, x:1, y:3
d:96, x:2, y:2
d:97, x:2, y:2
d:98, x:2, y:2
d:99, x:2, y:2
d:108, x:3, y:2
d:109, x:3, y:2
d:112, x:2, y:3
d:113, x:2, y:3
